V\-(GS) - Plot 0	I\-(DS) - Plot 0	V\-(GS) - Plot 1	I\-(DS) - Plot 1	
3.00029	4.46933E-8	3.00029	-9.45508E-10	
2.00006	2.99325E-8	2.00006	-9.37068E-10	
1.00008	1.93924E-8	1.00008	-8.76868E-10	
8.34703E-5	1.2924E-8	8.34703E-5	-7.70783E-10	
8.29697E-5	1.31475E-8	8.29697E-5	-3.97027E-10	
-0.999964	8.76859E-9	-0.999964	-6.52671E-10	
-1.99999	5.70427E-9	-1.99999	-6.92296E-10	
-2.99949	3.79317E-9	-2.99949	-7.16567E-10	
-3.99961	2.88934E-9	-3.99961	-7.90906E-10	
-4.99943	2.38277E-9	-4.99943	-8.81767E-10	
-5.99955	1.68484E-9	-5.99955	-9.84597E-10	
-6.99935	2.16E-9	-6.99935	-1.0974E-9	
-7.99961	2.44616E-9	-7.99961	-1.28477E-9	
-8.9994	3.64547E-9	-8.9994	-1.47492E-9	
-9.99954	5.03438E-9	-9.99954	-1.61651E-9	
-10.9998	6.91622E-9	-10.9998	-2.13141E-9	
-11.9996	9.38357E-9	-11.9996	-2.40581E-9	
-12.9998	1.22658E-8	-12.9998	-2.79549E-9	
-13.9997	1.61949E-8	-13.9997	-3.25266E-9	
-14.9999	2.09506E-8	-14.9999	-3.75857E-9	
-15.9996	2.65685E-8	-15.9996	-4.22651E-9	
-16.9997	3.3013E-8	-16.9997	-4.60575E-9	
-17.9996	3.97425E-8	-17.9996	-5.04448E-9	
-18.9997	4.7911E-8	-18.9997	-5.36015E-9	
-19.9995	5.72381E-8	-19.9995	-5.4949E-9	
-20.998	6.66248E-8	-20.998	-6.01476E-9	
-21.9991	7.75145E-8	-21.9991	-5.9701E-9	
-23	8.89421E-8	-23	-6.63822E-9	
-23.9995	1.07128E-7	-23.9995	-4.58405E-9	
-24.9969	1.13965E-7	-24.9969	-8.66725E-9	
-25.9969	1.2994E-7	-25.9969	-9.59488E-9	
-26.9984	1.45236E-7	-26.9984	-1.06121E-8	
-27.9983	1.6074E-7	-27.9983	-1.17915E-8	
-28.999	1.77434E-7	-28.999	-1.30199E-8	
-29.9999	1.9477E-7	-29.9999	-1.44159E-8	
-30.9973	2.11817E-7	-30.9973	-1.59191E-8	
-31.9973	2.30705E-7	-31.9973	-1.77199E-8	
-32.9982	2.49072E-7	-32.9982	-1.95185E-8	
-33.999	2.68671E-7	-33.999	-2.14762E-8	
-34.9997	2.88594E-7	-34.9997	-2.35911E-8	
-36.0006	3.09597E-7	-36.0006	-2.58276E-8	
-36.9976	3.30318E-7	-36.9976	-2.82664E-8	
-37.9979	3.51662E-7	-37.9979	-3.09588E-8	
-38.9981	3.73674E-7	-38.9981	-3.3791E-8	
-39.9989	3.96047E-7	-39.9989	-3.68024E-8	
-40.9992	4.19042E-7	-40.9992	-4.01026E-8	
-42	4.42236E-7	-42	-4.33893E-8	
